id,planet_type,discovery_date,mass,planet_radius,orbital_radius,orbital_period,eccentricity,detection_method
1078,Gas Giant,2011,1.27 Jupiters,1.22 x Jupiter,1.11 AU,362.5 days,0.17,
1079,Gas Giant,2011,20.96 Jupiters,1.08 x Jupiter,1.42 AU,1.8 years,0.3,
1080,Gas Giant,2009,0.717 Jupiters,1.25 x Jupiter,1.332 AU,498 days,0.69,
1081,Neptune-like,2021,8.9 Earths,0.261 x Jupiter,0.0777 AU,8.1 days,< 0.138,
1082,Super Earth,2021,3.5 Earths,1.69 x Earth,0.141 AU,19.9 days,< 0.293,
1083,Neptune-like,2021,12.7 Earths,0.322 x Jupiter,0.424 AU,103.5 days,0.27,
1084,Gas Giant,2021,1.14 Jupiters,1.22 x Jupiter,1.24 AU,1.4 years,0.41,
1085,Gas Giant,2019,2.5 Jupiters,1.18 x Jupiter,130.0 AU,957.3 years,0.0,Disk Kinematics
1086,Super Earth,2010,8.3 Earths,2.12 x Earth,0.0805 AU,9.5 days,0.05,
1087,Gas Giant,2011,1.964 Jupiters,1.2 x Jupiter,1.26 AU,433.8 days,0.08,
1088,Gas Giant,2012,6.79 Jupiters,1.13 x Jupiter,6.57 AU,16.5 years,0.86,
1089,Gas Giant,2018,2.33 Jupiters,1.19 x Jupiter,1.864 AU,2.7 years,0.23,
1090,Gas Giant,2005,0.44 Jupiters,1.28 x Jupiter,1.11 AU,439.3 days,0.09,
1091,Gas Giant,2021,0.97 Jupiters,1.23 x Jupiter,1.08 AU,310.4 days,0.2,
1092,Neptune-like,2004,22.2481 Earths,0.448 x Jupiter,0.12 AU,17 days,0.25,
1093,Gas Giant,2011,1.23 Jupiters,1.22 x Jupiter,1.98 AU,2.3 years,0.25,
1094,Gas Giant,2018,5.69 Jupiters,1.14 x Jupiter,Unknown,3.5 years,0.41,
1095,Gas Giant,2014,8.2 Jupiters,1.12 x Jupiter,0.81 AU,184.2 days,0.02,
1096,Neptune-like,2020,12.9 Earths,0.325 x Jupiter,0.243 AU,55.2 days,0.18,
1097,Gas Giant,2015,1.98 Jupiters,1.19 x Jupiter,0.72 AU,144.3 days,0.09,
1098,Gas Giant,2016,1.56 Jupiters,1.21 x Jupiter,1.134 AU,499.5 days,0.55,
1099,Gas Giant,2016,2.68 Jupiters,1.18 x Jupiter,0.706 AU,232.1 days,0.16,
1100,Gas Giant,2021,1.94 Jupiters,1.2 x Jupiter,2.84 AU,4.1 years,0.21,
1101,Super Earth,2014,12.7132 Earths,0.22 x Jupiter,0.0906 AU,9.1 days,0.2,
1102,Gas Giant,2010,0.36 Jupiters,1.18 x Jupiter,0.25 AU,57.4 days,0.17,
1103,Gas Giant,2005,3.9 Jupiters,1.16 x Jupiter,0.0696 AU,6.7 days,0.14,
1104,Gas Giant,2006,1.31 Jupiters,1.22 x Jupiter,0.549 AU,147.7 days,0.16,
1105,Gas Giant,2009,0.59 Jupiters,1.26 x Jupiter,1.94 AU,2.7 years,0.19,
1106,Gas Giant,2021,0.83 Jupiters,1.24 x Jupiter,0.492 AU,160 days,0.31,
1107,Neptune-like,2019,12.7 Earths,0.322 x Jupiter,0.217 AU,41.5 days,0.16,
1108,Neptune-like,2020,8.1 Earths,0.247 x Jupiter,0.256 AU,60.7 days,0.17,
1109,Gas Giant,2020,0.15228 Jupiters,0.708 x Jupiter,3.805 AU,9.5 years,0.16,
1110,Neptune-like,2016,8.75 Earths,0.259 x Jupiter,Unknown,15.6 days,0.0,
1111,Neptune-like,2016,7.08 Earths,0.228 x Jupiter,Unknown,31.7 days,0.0,
1112,Neptune-like,2016,14.9 Earths,0.353 x Jupiter,Unknown,3.1 years,0.0,
1113,Neptune-like,2016,26 Earths,0.492 x Jupiter,Unknown,131 days,0.0,
1114,Gas Giant,2016,0.233 Jupiters,0.91 x Jupiter,Unknown,3 years,0.0,
1115,Neptune-like,2020,14.4 Earths,0.347 x Jupiter,0.176 AU,34.2 days,0.25,
1116,Neptune-like,2020,22.9 Earths,0.456 x Jupiter,0.112 AU,17.8 days,0.5,
1117,Gas Giant,2009,1.42 Jupiters,1.21 x Jupiter,0.89 AU,345.7 days,0.52,
1118,Gas Giant,2011,15.04 Jupiters,1.09 x Jupiter,7.7 AU,24.7 years,0.14,
1119,Neptune-like,2019,8.62 Earths,0.256 x Jupiter,0.063 AU,7.8 days,0.2,
1120,Neptune-like,2019,12.44 Earths,0.318 x Jupiter,0.099 AU,15.1 days,0.2,
1121,Gas Giant,2021,3.67 Jupiters,1.16 x Jupiter,3.73 AU,7.1 years,0.12,
1122,Neptune-like,2011,6.3566 Earths,0.214 x Jupiter,0.07 AU,8.1 days,0.19,
1123,Gas Giant,2011,0.40902 Jupiters,1.27 x Jupiter,0.178 AU,32 days,0.05,
1124,Gas Giant,2011,0.5267 Jupiters,1.27 x Jupiter,1.01 AU,431.7 days,0.27,
1125,Gas Giant,2021,0.51 Jupiters,1.27 x Jupiter,0.17 AU,30 days,0.05,
1126,Gas Giant,2013,9.18 Jupiters,1.12 x Jupiter,0.565 AU,124.6 days,0.23,
1127,Gas Giant,2016,0.428 Jupiters,1.28 x Jupiter,0.177 AU,28.1 days,0.14,
1128,Gas Giant,2016,0.784 Jupiters,1.24 x Jupiter,0.316 AU,67.3 days,0.12,
1129,Gas Giant,2017,9 Jupiters,1.5 x Jupiter,92.0 AU,630.7 years,0.0,
1130,Gas Giant,2015,6 Jupiters,1.14 x Jupiter,2.81 AU,3 years,0.13,
1131,Gas Giant,2020,3.213 Jupiters,2.03 x Jupiter,0.01782 AU,1 days,0.0,
1132,Gas Giant,2020,0.228 Jupiters,0.898 x Jupiter,Unknown,7 days,0.06,
1133,Gas Giant,2017,11.1 Jupiters,1.11 x Jupiter,4.91 AU,7 years,0.59,
1134,Gas Giant,2015,1.38 Jupiters,1.21 x Jupiter,0.46 AU,88.9 days,0.05,
1135,Gas Giant,2015,6.3 Jupiters,1.14 x Jupiter,3.82 AU,5.8 years,0.17,
1136,Gas Giant,2009,9 Jupiters,1.12 x Jupiter,20.25 AU,47.5 years,0.72,
1137,Neptune-like,2019,18.8 Earths,0.406 x Jupiter,0.335 AU,87.2 days,0.21,
1138,Gas Giant,2016,2.4 Jupiters,1.18 x Jupiter,2.1 AU,2.3 years,0.07,
1139,Gas Giant,2021,25 Jupiters,2.0 x Jupiter,30.0 AU,128.8 years,0.5,
1140,Gas Giant,2021,1.79 Jupiters,1.2 x Jupiter,2.02 AU,2.5 years,0.42,
1141,Gas Giant,2010,23 Jupiters,1.07 x Jupiter,740.0 AU,12738.7 years,0.0,
1142,Gas Giant,2019,20.5 Jupiters,1.08 x Jupiter,345.0 AU,3311 years,0.0,
1143,Gas Giant,2009,2.1 Jupiters,1.19 x Jupiter,0.36 AU,111.7 days,0.29,
1144,Gas Giant,2016,5.5 Jupiters,1.14 x Jupiter,2.8 AU,4.3 years,0.16,
1145,Gas Giant,2021,0.71 Jupiters,1.25 x Jupiter,0.031 AU,2.2 days,0.09,
1146,Gas Giant,2021,1.96 Jupiters,1.2 x Jupiter,1.26 AU,453.9 days,0.08,
1147,Gas Giant,2013,1.09 Jupiters,1.23 x Jupiter,0.06 AU,5.1 days,0.02,
1148,Neptune-like,2021,20 Earths,0.244 x Jupiter,0.089 AU,10.3 days,0.16,
1149,Neptune-like,2021,9.9 Earths,0.278 x Jupiter,0.124 AU,16.8 days,< 0.25,
1150,Gas Giant,2014,20 Jupiters,1.08 x Jupiter,2.55 AU,2.9 years,0.61,
1151,Gas Giant,2006,21.9987 Jupiters,1.051 x Jupiter,773.0 AU,20692.2 years,0.0,
1152,Gas Giant,2016,30 Jupiters,1.11 x Jupiter,20.3 AU,80.3 years,0.0,
1153,Gas Giant,2019,3.23 Jupiters,1.17 x Jupiter,18.0 AU,74 years,0.84,
1154,Gas Giant,1999,2.27 Jupiters,1.19 x Jupiter,0.92 AU,302.8 days,0.14,
1155,Super Earth,2019,5 Earths,2.085 x Earth,0.048 AU,3.6 days,< 0.3,
1156,Super Earth,2019,4.42 Earths,1.939 x Earth,0.0674 AU,6 days,< 0.19,
1157,Neptune-like,2019,5.32 Earths,2.164 x Earth,0.1027 AU,11.2 days,< 0.28,
1158,Gas Giant,2008,7 Jupiters,1.2 x Jupiter,68.0 AU,465.8 years,0.0,
1159,Gas Giant,2008,10 Jupiters,1.2 x Jupiter,38.0 AU,189 years,< 0.5,
1160,Gas Giant,2008,10 Jupiters,1.2 x Jupiter,24.0 AU,101.4 years,< 0.6,
1161,Gas Giant,2010,10 Jupiters,1.17 x Jupiter,16.4 AU,57 years,0.15,
1162,Gas Giant,2011,5.9 Jupiters,1.14 x Jupiter,3.6 AU,6.5 years,0.0,Eclipse Timing Variations
1163,Gas Giant,2011,4.5 Jupiters,1.15 x Jupiter,5.4 AU,12 years,0.51,Eclipse Timing Variations
1164,Gas Giant,2012,14.48228 Jupiters,1.09 x Jupiter,4.69 AU,12.7 years,0.4,Eclipse Timing Variations
1165,Gas Giant,2018,6.3 Jupiters,1.14 x Jupiter,2.038 AU,2 years,0.18,
1166,Gas Giant,2002,8.82 Jupiters,1.12 x Jupiter,1.275 AU,1.4 years,0.71,
1167,Neptune-like,2016,21.8 Earths,0.346 x Jupiter,0.0301 AU,1.7 days,0.0,
1168,Super Earth,2016,4.66 Earths,2.0 x Earth,0.1124 AU,14.7 days,0.1,
1169,Super Earth,2016,2.24 Earths,1.3 x Earth,Unknown,9.9 days,0.1,
1170,Super Earth,2016,3.86 Earths,1.79 x Earth,0.0242 AU,2 days,0.09,
1171,Neptune-like,2017,30 Earths,0.32 x Jupiter,0.0833 AU,8.3 days,0.0,
1172,Gas Giant,2017,0.84 Jupiters,1.426 x Jupiter,0.0475 AU,3.3 days,0.0,
1173,Gas Giant,2017,0.18689 Jupiters,0.476 x Jupiter,0.0581 AU,4.7 days,0.18,
1174,Neptune-like,2015,27 Earths,0.343 x Jupiter,0.137 AU,19.3 days,0.31,
1175,Super Earth,2017,16.7 Earths,0.228 x Jupiter,0.1027 AU,13.9 days,0.08,
1176,Super Earth,2017,5.29 Earths,1.82 x Earth,0.057 AU,5.4 days,0.13,
1177,Neptune-like,2020,11.3 Earths,0.301 x Jupiter,0.1166 AU,15.7 days,0.07,
1178,Gas Giant,2017,1.29 Jupiters,1.083 x Jupiter,0.0642 AU,5.8 days,0.0,
1179,Gas Giant,2017,2.01 Jupiters,0.932 x Jupiter,0.0943 AU,11.4 days,0.08,
1180,Gas Giant,2017,0.84 Jupiters,1.076 x Jupiter,0.143 AU,20.3 days,0.14,
1181,Terrestrial,2017,0.257 Earths,0.69 x Earth,0.048 AU,4.7 days,0.06,
1182,Super Earth,2017,4.78 Earths,2.03 x Earth,0.0189 AU,1.3 days,0.06,
1183,Super Earth,2017,4.9 Earths,2.06 x Earth,0.0492 AU,5.4 days,0.15,
1184,Neptune-like,2017,6.99 Earths,0.227 x Jupiter,0.245 AU,50.9 days,0.2,
1185,Neptune-like,2017,6.94 Earths,0.226 x Jupiter,0.0698 AU,7.7 days,0.07,
1186,Gas Giant,2015,0.14 Jupiters,0.674 x Jupiter,0.2257 AU,39.9 days,0.0,
1187,Super Earth,2017,4.7 Earths,2.01 x Earth,0.078 AU,9.6 days,0.14,
1188,Gas Giant,2017,0.139 Jupiters,0.671 x Jupiter,0.0629 AU,5.2 days,0.22,
1189,Super Earth,2017,1.65 Earths,1.16 x Earth,0.0373 AU,2.2 days,0.21,
1190,Neptune-like,2017,8.05 Earths,0.246 x Jupiter,0.1649 AU,31 days,0.06,
1191,Neptune-like,2017,8.75 Earths,0.259 x Jupiter,0.049 AU,6.4 days,0.08,
1192,Neptune-like,2017,5.39 Earths,2.18 x Earth,0.121 AU,21.8 days,0.08,
1193,Super Earth,2017,4.54 Earths,1.97 x Earth,0.0656 AU,7.4 days,0.06,
1194,Gas Giant,2017,0.167 Jupiters,0.747 x Jupiter,0.0411 AU,3.6 days,0.12,
1195,Super Earth,2017,2.6 Earths,1.42 x Earth,0.056 AU,5.7 days,0.23,
1196,Super Earth,2017,1.12 Earths,1.04 x Earth,0.057 AU,8.2 days,0.13,
1197,Neptune-like,2015,6.04 Earths,0.208 x Jupiter,0.0802 AU,8.3 days,0.0,
1198,Super Earth,2017,2.1 Earths,1.25 x Earth,0.032 AU,2.5 days,0.17,
1199,Super Earth,2017,6.3 Earths,1.5 x Earth,0.0095 AU,0.4 days,0.0,
1200,Gas Giant,2017,0.49 Jupiters,1.3 x Jupiter,0.0916 AU,9.2 days,0.29,
1201,Super Earth,2017,2.36 Earths,1.34 x Earth,0.03194 AU,3.1 days,0.0,
1202,Super Earth,2017,3.2 Earths,1.603 x Earth,0.04341 AU,4.9 days,0.0,
1203,Super Earth,2017,4.67 Earths,2.003 x Earth,0.07487 AU,11 days,0.0,
1204,Super Earth,2019,3.64 Earths,1.73 x Earth,0.1346 AU,26.6 days,0.0,
1205,Terrestrial,2017,0.937 Earths,0.99 x Earth,Unknown,8 days,0.1,
1206,Neptune-like,2017,8.8 Earths,0.26 x Jupiter,0.11728 AU,17.3 days,0.13,
1207,Super Earth,2017,2.7 Earths,1.45 x Earth,Unknown,25.6 days,0.14,
1208,Terrestrial,2017,0.5 Jupiters,0.64 x Earth,0.0058 AU,0.2 days,0.0,
1209,Super Earth,2017,3.1 Earths,1.51 x Earth,0.03385 AU,2.4 days,0.05,
1210,Neptune-like,2017,6.31 Earths,0.205 x Jupiter,0.04461 AU,3.6 days,0.05,
1211,Super Earth,2017,7.92 Earths,0.213 x Jupiter,0.05893 AU,5.4 days,0.04,
1212,Neptune-like,2017,12.97 Earths,0.302 x Jupiter,0.0782 AU,8.3 days,0.08,
1213,Terrestrial,2017,1.63 Earths,0.259 x Jupiter,0.10447 AU,12.8 days,0.06,
1214,Neptune-like,2021,4.32 Earths,0.269 x Jupiter,0.23109 AU,42 days,0.06,
1215,Gas Giant,2017,0.387 Jupiters,0.813 x Jupiter,0.1796 AU,28.4 days,0.12,
1216,Super Earth,2015,4.23 Earths,1.89 x Earth,0.2114 AU,39.9 days,0.0,
1217,Gas Giant,2017,0.93 Jupiters,1.21 x Jupiter,0.068 AU,6.6 days,0.0,
1218,Super Earth,2018,5.08 Earths,1.51 x Earth,0.00716 AU,0.3 days,0.0,
1219,Neptune-like,2018,7.4 Earths,0.624 x Jupiter,Unknown,7.7 days,0.0,
1220,Super Earth,2018,5.77 Earths,2.05 x Earth,0.0248 AU,2.6 days,0.13,
1221,Super Earth,2019,7.49 Earths,2.19 x Earth,0.0327 AU,4 days,0.08,
1222,Terrestrial,2018,0.315 Earths,0.73 x Earth,0.0159 AU,1 days,0.0,
1223,Super Earth,2018,2.33 Earths,1.33 x Earth,0.0454 AU,4.4 days,0.0,
1224,Super Earth,2018,3.64 Earths,1.73 x Earth,0.0616 AU,6.9 days,0.0,
1225,Super Earth,2018,3.33 Earths,1.64 x Earth,0.0774 AU,9.8 days,0.0,
1226,Super Earth,2018,3.33 Earths,1.64 x Earth,0.083 AU,11.3 days,0.0,
1227,Neptune-like,2015,20.7 Earths,0.429 x Jupiter,0.0627 AU,8.4 days,0.14,
1228,Super Earth,2018,4.66 Earths,2.0 x Earth,0.0727 AU,10.6 days,0.0,
1229,Super Earth,2018,2.83 Earths,1.49 x Earth,0.0373 AU,3.8 days,0.0,
1230,Neptune-like,2018,5.86 Earths,0.204 x Jupiter,0.1716 AU,32.6 days,0.0,
1231,Super Earth,2018,4.66 Earths,2.0 x Earth,0.0614 AU,7.5 days,0.0,
1232,Super Earth,2018,4.62 Earths,1.99 x Earth,0.0405 AU,3.7 days,0.0,
1233,Super Earth,2018,4.94 Earths,2.07 x Earth,0.0677 AU,8 days,0.0,
1234,Super Earth,2018,3.89 Earths,1.8 x Earth,0.0562 AU,6.3 days,0.0,
1235,Neptune-like,2018,7.27 Earths,0.232 x Jupiter,0.0946 AU,13.9 days,0.0,
1236,Super Earth,2018,4.27 Earths,1.9 x Earth,0.1937 AU,40.7 days,0.0,
1237,Super Earth,2018,1.37 Earths,1.1 x Earth,0.0149 AU,0.8 days,0.0,
1238,Terrestrial,2018,0.972 Earths,1.0 x Earth,Unknown,0.4 days,0.0,
1239,Neptune-like,2018,7.46 Earths,0.236 x Jupiter,0.0887 AU,10.1 days,0.0,
1240,Super Earth,2018,2.18 Earths,1.28 x Earth,0.0622 AU,5.9 days,0.0,
1241,Neptune-like,2018,5.73 Earths,0.202 x Jupiter,0.1013 AU,12.4 days,0.0,
1242,Neptune-like,2015,6.71 Earths,0.221 x Jupiter,0.091 AU,11.8 days,0.0,
1243,Neptune-like,2018,10.2 Earths,0.284 x Jupiter,Unknown,3.7 days,0.0,
1244,Neptune-like,2018,31.1 Earths,0.546 x Jupiter,Unknown,9.3 days,0.0,
1245,Super Earth,2018,2.67 Earths,1.44 x Earth,0.0795 AU,9.5 days,0.0,
1246,Neptune-like,2018,6.65 Earths,0.22 x Jupiter,Unknown,6.7 days,0.0,
1247,Neptune-like,2018,10.6 Earths,0.29 x Jupiter,Unknown,17.4 days,0.0,
1248,Super Earth,2018,2.17 Earths,1.274 x Earth,Unknown,2.4 days,0.0,
1249,Super Earth,2018,3.03 Earths,1.554 x Earth,Unknown,4.4 days,0.0,
1250,Neptune-like,2018,7.5 Earths,0.236 x Jupiter,Unknown,14.1 days,0.0,
1251,Neptune-like,2018,5.43 Earths,2.19 x Earth,0.0858 AU,8.5 days,0.0,
1252,Neptune-like,2018,5.75 Earths,0.202 x Jupiter,0.0999 AU,10 days,0.41,
1253,Super Earth,2018,4.12 Earths,1.86 x Earth,Unknown,15.9 days,0.0,
1254,Super Earth,2018,2.16 Earths,1.273 x Earth,Unknown,6.4 days,0.0,
1255,Super Earth,2015,4.74 Earths,2.02 x Earth,0.0667 AU,7.6 days,0.0,
1256,Neptune-like,2015,6.99 Earths,0.227 x Jupiter,0.1229 AU,19.1 days,0.0,
1257,Super Earth,2018,2.6 Earths,1.418 x Earth,Unknown,7.6 days,0.0,
1258,Super Earth,2018,3.9 Earths,1.802 x Earth,Unknown,12.4 days,0.0,
1259,Neptune-like,2018,7.69 Earths,0.24 x Jupiter,Unknown,5.6 days,0.0,
1260,Super Earth,2018,3.42 Earths,1.666 x Earth,Unknown,14.3 days,0.0,
1261,Neptune-like,2018,10.4 Earths,0.286 x Jupiter,Unknown,29.6 days,0.0,
1262,Super Earth,2018,3.22 Earths,1.608 x Earth,Unknown,5.9 days,0.0,
1263,Neptune-like,2018,7.27 Earths,0.232 x Jupiter,0.126 AU,19.6 days,0.0,
1264,Super Earth,2018,4.81 Earths,2.038 x Earth,Unknown,9.5 days,0.0,
1265,Super Earth,2018,2.83 Earths,1.491 x Earth,Unknown,5.3 days,0.0,
1266,Neptune-like,2018,5.13 Earths,2.116 x Earth,Unknown,14.2 days,0.0,
1267,Neptune-like,2018,12.4 Earths,0.317 x Jupiter,Unknown,8.7 days,0.0,
1268,Neptune-like,2018,6.86 Earths,0.224 x Jupiter,Unknown,5.2 days,0.0,
1269,Neptune-like,2015,5.6 Earths,2.23 x Earth,0.119 AU,18 days,0.18,
1270,Super Earth,2018,11.44182 Earths,0.225 x Jupiter,0.0734 AU,8.9 days,0.0,
1271,Neptune-like,2018,8.45 Earths,0.253 x Jupiter,0.0706 AU,6.9 days,0.0,
1272,Neptune-like,2018,20 Earths,0.24 x Jupiter,0.0526 AU,4.7 days,0.04,
1273,Super Earth,2018,1.37 Earths,1.1 x Earth,Unknown,0.5 days,0.0,
1274,Neptune-like,2018,5.9 Earths,0.205 x Jupiter,0.0932 AU,10.8 days,0.0,
1275,Neptune-like,2018,5.9 Earths,0.205 x Jupiter,0.1527 AU,22.6 days,0.0,
1276,Super Earth,2018,2.76 Earths,1.47 x Earth,0.1685 AU,17 days,0.0,
1277,Super Earth,2018,1.6 Earths,1.15 x Earth,Unknown,10.6 days,0.0,
1278,Neptune-like,2018,6.3 Earths,0.213 x Jupiter,Unknown,52.7 days,0.0,
1279,Neptune-like,2018,10.2 Earths,0.283 x Jupiter,Unknown,41.5 days,0.0,
1280,Super Earth,2018,1.87 Earths,1.2 x Earth,0.0164 AU,0.8 days,0.0,
1281,Super Earth,2018,2.54 Earths,1.4 x Earth,0.0392 AU,2.9 days,0.0,
1282,Neptune-like,2018,6.35 Earths,0.214 x Jupiter,0.072 AU,7.1 days,0.0,
1283,Super Earth,2018,4.27 Earths,1.9 x Earth,0.1106 AU,13.6 days,0.0,
1284,Super Earth,2018,2.39 Earths,1.35 x Earth,0.0289 AU,1.7 days,0.0,
1285,Neptune-like,2018,8.4 Earths,0.252 x Jupiter,0.0785 AU,7.8 days,0.0,
1286,Super Earth,2018,2.92 Earths,1.52 x Earth,0.0361 AU,2.6 days,0.0,
1287,Neptune-like,2018,6.8 Earths,0.223 x Jupiter,0.068 AU,6.7 days,0.0,
1288,Super Earth,2015,8.92 Earths,0.211 x Jupiter,0.1429 AU,32.9 days,0.2,
1289,Neptune-like,2017,7.51 Earths,0.236 x Jupiter,0.06 AU,9 days,< 0.47,
1290,Super Earth,2018,2.41 Earths,1.357 x Earth,Unknown,10.1 days,0.0,
1291,Super Earth,2018,1.34 Earths,1.093 x Earth,Unknown,21.6 days,0.0,
1292,Super Earth,2018,3.12 Earths,1.579 x Earth,Unknown,2.9 days,0.0,
1293,Super Earth,2018,2.92 Earths,1.52 x Earth,0.049 AU,4.2 days,0.0,
1294,Neptune-like,2018,14.8 Earths,0.352 x Jupiter,0.1184 AU,14.8 days,0.0,
1295,Neptune-like,2018,12.9 Earths,0.325 x Jupiter,Unknown,39.7 days,0.0,
1296,Neptune-like,2018,9.96 Earths,0.279 x Jupiter,0.1208 AU,15.9 days,0.0,
1297,Neptune-like,2018,7.16 Earths,0.23 x Jupiter,Unknown,28.5 days,0.0,
1298,Neptune-like,2018,12.6 Earths,0.321 x Jupiter,Unknown,48.3 days,0.0,
1299,Neptune-like,2018,7.08 Earths,0.228 x Jupiter,0.0806 AU,8.4 days,0.0,
1300,Neptune-like,2018,16.3 Earths,0.374 x Jupiter,Unknown,17 days,0.0,
1301,Super Earth,2019,2.61 Earths,1.423 x Earth,Unknown,3.4 days,0.0,
1302,Neptune-like,2019,6.52 Earths,0.218 x Jupiter,Unknown,7.5 days,0.0,
1303,Super Earth,2018,6.9 Earths,1.73 x Earth,0.0382 AU,3.2 days,0.02,
1304,Neptune-like,2018,12.4 Earths,0.254 x Jupiter,0.0662 AU,7.4 days,0.03,
1305,Neptune-like,2015,32.4 Earths,0.624 x Jupiter,0.074 AU,7.9 days,0.2,
1306,Neptune-like,2015,10.8 Earths,0.366 x Jupiter,0.0971 AU,11.9 days,0.21,
1307,Super Earth,2016,10 Earths,1.11 x Earth,0.0344 AU,2.5 days,0.0,
1308,Super Earth,2018,2.43 Earths,1.364 x Earth,Unknown,2.8 days,0.0,
1309,Super Earth,2018,2.54 Earths,1.4 x Earth,Unknown,1.1 days,0.0,
1310,Neptune-like,2018,10.8 Earths,0.293 x Jupiter,Unknown,22.8 days,0.0,
1311,Neptune-like,2018,5.91 Earths,0.205 x Jupiter,Unknown,3.4 days,0.0,
1312,Super Earth,2018,2.45 Earths,1.371 x Earth,Unknown,9.7 days,0.0,
1313,Neptune-like,2018,9.51 Earths,0.272 x Jupiter,Unknown,7.1 days,0.0,
1314,Super Earth,2018,4.64 Earths,1.996 x Earth,Unknown,26.7 days,0.0,
1315,Neptune-like,2018,8.22 Earths,0.249 x Jupiter,Unknown,18.3 days,0.0,
1316,Neptune-like,2018,7.3 Earths,0.232 x Jupiter,Unknown,12.5 days,0.0,
1317,Super Earth,2018,3.46 Earths,1.679 x Earth,Unknown,4.2 days,0.0,
1318,Terrestrial,2018,0.586 Earths,0.869 x Earth,Unknown,2.1 days,0.0,
1319,Terrestrial,2018,0.566 Earths,0.86 x Earth,Unknown,0.6 days,0.0,
1320,Super Earth,2018,2.24 Earths,1.3 x Earth,Unknown,0.7 days,0.0,
1321,Neptune-like,2018,6.9 Earths,0.225 x Jupiter,0.0785 AU,9.8 days,0.0,
1322,Super Earth,2018,2.9 Earths,1.514 x Earth,Unknown,8.1 days,0.0,
1323,Neptune-like,2018,6.48 Earths,0.217 x Jupiter,0.0834 AU,8.6 days,0.0,
1324,Neptune-like,2018,5.16 Earths,2.124 x Earth,Unknown,8.3 days,0.0,
1325,Super Earth,2018,8 Earths,1.75 x Earth,0.028 AU,2.2 days,0.0,
1326,Neptune-like,2018,12.5 Earths,0.319 x Jupiter,Unknown,14.1 days,0.0,
1327,Neptune-like,2018,7.13 Earths,0.229 x Jupiter,Unknown,8.7 days,0.0,
1328,Super Earth,2018,2.38 Earths,1.348 x Earth,Unknown,3.9 days,0.0,
1329,Super Earth,2018,2.66 Earths,1.438 x Earth,Unknown,6.7 days,0.0,
1330,Neptune-like,2018,7.16 Earths,0.23 x Jupiter,Unknown,11.1 days,0.0,
1331,Neptune-like,2015,4.04 Earths,1.84 x Earth,0.076 AU,9.3 days,0.1,
1332,Super Earth,2015,6.76 Earths,0.222 x Jupiter,0.107 AU,15.5 days,0.21,
1333,Neptune-like,2018,6.3 Earths,0.213 x Jupiter,0.1104 AU,13.7 days,0.0,
1334,Super Earth,2018,3.46 Earths,1.679 x Earth,Unknown,2.4 days,0.0,
1335,Neptune-like,2018,6.3 Earths,0.213 x Jupiter,0.1211 AU,15.4 days,0.0,
1336,Terrestrial,2018,0.64 Earths,0.89 x Earth,0.0127 AU,0.5 days,0.0,
1337,Super Earth,2018,2.86 Earths,1.5 x Earth,0.0549 AU,4.6 days,0.0,
1338,Super Earth,2018,3.05 Earths,1.56 x Earth,0.0516 AU,4.5 days,0.0,
1339,Neptune-like,2018,6.39 Earths,0.215 x Jupiter,0.0886 AU,10.1 days,0.0,
1340,Neptune-like,2018,12 Earths,0.311 x Jupiter,0.134 AU,15.9 days,0.0,
1341,Super Earth,2018,2.99 Earths,1.54 x Earth,0.0413 AU,3.3 days,0.0,
1342,Super Earth,2018,3.41 Earths,1.666 x Earth,Unknown,13.6 days,0.0,
1343,Super Earth,2018,1.92 Earths,1.21 x Earth,0.0338 AU,2.7 days,0.0,
1344,Super Earth,2018,2.49 Earths,1.0 x Earth,0.0131 AU,0.6 days,0.0,
1345,Super Earth,2018,21.3 Earths,2.03 x Earth,0.0769 AU,8.3 days,0.0,
1346,Neptune-like,2015,1.4 Jupiters,0.205 x Jupiter,0.009 AU,0.4 days,0.19,
1347,Super Earth,2018,4.5 Earths,1.96 x Earth,0.0409 AU,2.9 days,0.0,
1348,Neptune-like,2018,6.8 Earths,0.223 x Jupiter,Unknown,13.8 days,0.0,
1349,Gas Giant,2018,0.398 Jupiters,1.0 x Jupiter,0.10356 AU,11.2 days,0.26,
1350,Super Earth,2018,11.26 Earths,1.343 x Earth,0.03308 AU,2.5 days,0.08,
1351,Super Earth,2018,12.81 Earths,1.281 x Earth,0.06666 AU,7.1 days,< 0.2002,
1352,Super Earth,2018,21.14 Earths,0.21 x Jupiter,0.15224 AU,24.4 days,< 0.1999,
1353,Gas Giant,2018,1.363 Jupiters,1.445 x Jupiter,0.03558 AU,2.2 days,0.04,
1354,Gas Giant,2018,0.86 Jupiters,1.3 x Jupiter,0.046 AU,3.2 days,0.0,
1355,Super Earth,2018,1.37 Earths,1.1 x Earth,0.0441 AU,5.2 days,0.0,
1356,Terrestrial,2018,0.972 Earths,1.0 x Earth,0.0576 AU,7.8 days,0.0,
1357,Super Earth,2018,1.37 Earths,1.1 x Earth,0.0685 AU,10.1 days,0.0,
1358,Super Earth,2018,4.66 Earths,2.0 x Earth,0.0513 AU,6 days,0.0,
1359,Super Earth,2018,3.89 Earths,1.8 x Earth,0.1159 AU,20.5 days,0.0,
1360,Neptune-like,2018,7.04 Earths,0.227 x Jupiter,0.1567 AU,26.8 days,0.0,
